intent,recipient,keyword_count,distinct_keyword_count,best_rank,p25_rank,top100_count,top1000_count,active_months,example_keywords
personalized,mom,19,14,512922,809122.0,0.0,0.0,3,custom blanket for mom | personalized necklace for mom | custom mama sweatshirt | custom mom sweatshirt | personalized mama sweatshirt
decor,dad,4,1,521547,703810.5,0.0,0.0,4,our father prayer wall decor
appreciation,boy,9,4,645652,771121.0,0.0,0.0,4,baby boy thank you cards | baby shower thank you cards boy | thank you cards baby shower boy | thanks giving baby boy outfits
decor,husband,4,1,653524,680161.75,0.0,0.0,4,fantastic mr fox poster
personalized,teacher,9,5,656663,775942.0,0.0,0.0,4,personalized teacher stamp | personalized teacher ornament | personalized teacher notepad | teacher ornament personalized | personalized teacher lanyard
wedding,daughter,6,4,674247,740105.25,0.0,0.0,2,wedding card for son and daughter in law | wedding card for daughter | wedding card for daughter and son in law | daughter of the bride
sympathy,dad,4,1,717630,774183.75,0.0,0.0,4,sympathy card loss of father
birthday,teacher,3,1,720191,808938.5,0.0,0.0,3,teacher birthday card
memorial,daughter,4,1,766218,921152.25,0.0,0.0,4,memorial gift for loss of daughter
sympathy,husband,5,2,836136,979495.0,0.0,0.0,4,sympathy card loss of husband | sympathy card for loss of husband
appreciation,husband,2,1,878227,988361.5,0.0,0.0,2,thank you mr falker
memorial,grandma,1,1,1015115,1015115.0,0.0,0.0,1,grandma memorial gift
wedding,son,1,1,1048334,1048334.0,0.0,0.0,1,wedding card for son
personalized,dad,2,2,1134310,1183670.25,0.0,0.0,1,custom dad shirt | custom dad hat
appreciation,mom,1,1,1170163,1170163.0,0.0,0.0,1,thank you mom
personalized,grandpa,1,1,1336556,1336556.0,0.0,0.0,1,custom grandpa shirt
