intent,product,keyword_count,distinct_keyword_count,best_rank,p25_rank,top100_count,top1000_count,active_months,example_keywords
decor,shirt,7,3,417012,540340.5,0.0,0.0,4,peace sign shirt for women | peace sign shirt | well thats not a good sign shirt
anniversary,ornament,13,7,460014,703602.0,0.0,0.0,4,250th anniversary bell ornament | united states 250th anniversary bell ornament | 250 anniversary ornament | 50th anniversary ornament | 250 anniversary bell ornament
wedding,poster,4,1,506080,555427.75,0.0,0.0,4,corpse bride poster
retirement,shirt,11,3,531678,631458.0,0.0,0.0,4,retirement shirt for women | retirement shirt for men | retirement shirt
decor,ornament,4,3,624999,959484.0,0.0,0.0,4,fall tree decorations and ornament | ornament decor | blow up ornament decorations
gift,tote bag,8,5,636519,1052737.5,0.0,0.0,4,gift tote bags | christmas gift tote bags | gift tote | tote gift bag | tote bag gift set
birthday,blanket,9,3,671022,811199.0,0.0,0.0,4,birthday blanket | happy birthday blanket | birthday blanket for women
retirement,blanket,8,2,689041,852791.0,0.0,0.0,4,retirement blanket | retirement blanket for women
decor,mug,3,2,692450,828782.5,0.0,0.0,3,mug shot sign | sweet water decor mug
wedding,hoodie,3,1,716424,759765.5,0.0,0.0,3,bride hoodie
sympathy,blanket,4,1,726050,740978.75,0.0,0.0,4,sympathy blanket
appreciation,mug,2,1,750617,838601.75,0.0,0.0,2,thank you mug
decor,blanket,2,2,809426,902209.0,0.0,0.0,2,fall decor blanket | wrangler throw blanket soft plush fleece bedding western decor for bed or couch yellowstone ins
birthday,mug,3,1,1016832,1032583.0,0.0,0.0,3,birthday mug
anniversary,hoodie,1,1,1061672,1061672.0,0.0,0.0,1,usmc 250th anniversary hoodie
birthday,ornament,5,4,1071766,1152112.0,0.0,0.0,2,21st birthday christmas ornament | birthday ornament for tree | birthday ornament | 21st birthday ornament
decor,phone case,2,1,1110538,1169076.25,0.0,0.0,2,phone case decorations
appreciation,hoodie,1,1,1166586,1166586.0,0.0,0.0,1,thank you jesus hoodie
graduation,poster,1,1,1173738,1173738.0,0.0,0.0,1,kanye west graduation poster
matching,phone case,2,1,1178506,1213326.25,0.0,0.0,2,matching phone case
graduation,shirt,1,1,1235459,1235459.0,0.0,0.0,1,graduation shirt
decor,hoodie,1,1,1260180,1260180.0,0.0,0.0,1,a boogie wit da hoodie poster
appreciation,sweatshirt,1,1,1294120,1294120.0,0.0,0.0,1,thanks giving sweater
sympathy,ornament,1,1,1294984,1294984.0,0.0,0.0,1,sympathy ornament
wedding,mug,1,1,1471289,1471289.0,0.0,0.0,1,bride mug
